epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,489.781,0.86175,0.88121,1,0.90282,0.000237599,0.000237599,0.000237599
2,965.087,0.53703,0.89048,1,0.88469,0.000452057,0.000452057,0.000452057
3,1442.11,0.53465,0.90059,1,0.87504,0.000642953,0.000642953,0.000642953
4,1931.5,0.48657,0.89848,1,0.87733,0.000607971,0.000607971,0.000607971
5,2413.05,0.45226,0.90185,1,0.86221,0.000572628,0.000572628,0.000572628
6,2893.42,0.42876,0.90733,1,0.85544,0.000537285,0.000537285,0.000537285
7,3371.56,0.39059,0.92123,1,0.84457,0.000501942,0.000501942,0.000501942
8,3850.85,0.35822,0.9326,1,0.83665,0.000466599,0.000466599,0.000466599
9,4327.86,0.35711,0.92671,1,0.83153,0.000431256,0.000431256,0.000431256
10,4803.98,0.34264,0.93387,1,0.82905,0.000395913,0.000395913,0.000395913
11,5277.47,0.32441,0.93008,1,0.82297,0.00036057,0.00036057,0.00036057
12,5751.26,0.30924,0.93892,1,0.82365,0.000325227,0.000325227,0.000325227
13,6225.27,0.28727,0.93892,1,0.81612,0.000289884,0.000289884,0.000289884
14,6699.36,0.26963,0.94187,1,0.81341,0.000254541,0.000254541,0.000254541
15,7170.77,0.25493,0.94524,1,0.80941,0.000219198,0.000219198,0.000219198
16,7641.98,0.24955,0.94735,1,0.81205,0.000183855,0.000183855,0.000183855
17,8112.94,0.24239,0.9444,1,0.80724,0.000148512,0.000148512,0.000148512
18,8583.35,0.21602,0.94903,1,0.80699,0.000113169,0.000113169,0.000113169
19,9053.17,0.21377,0.94903,1,0.80593,7.7826e-05,7.7826e-05,7.7826e-05
20,9523.88,0.20728,0.95114,1,0.80302,4.2483e-05,4.2483e-05,4.2483e-05
